2025-07-28 12:45:27 | ep 01 | step 169/433 | loss 2.8224 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:28 | ep 01 | step 170/433 | loss 2.8062 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:29 | ep 01 | step 171/433 | loss 2.7894 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:30 | ep 01 | step 172/433 | loss 2.8277 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:31 | ep 01 | step 173/433 | loss 2.7582 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:31 | ep 01 | step 174/433 | loss 2.7261 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:32 | ep 01 | step 175/433 | loss 2.7768 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:33 | ep 01 | step 176/433 | loss 2.7545 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:34 | ep 01 | step 177/433 | loss 2.8972 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:34 | ep 01 | step 178/433 | loss 2.7927 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:35 | ep 01 | step 179/433 | loss 2.7448 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:36 | ep 01 | step 180/433 | loss 2.7771 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:37 | ep 01 | step 181/433 | loss 2.7673 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:38 | ep 01 | step 182/433 | loss 2.7855 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:38 | ep 01 | step 183/433 | loss 2.7475 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:39 | ep 01 | step 184/433 | loss 2.7586 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:40 | ep 01 | step 185/433 | loss 2.7558 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:41 | ep 01 | step 186/433 | loss 2.7571 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:41 | ep 01 | step 187/433 | loss 2.7351 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:42 | ep 01 | step 188/433 | loss 2.8035 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:43 | ep 01 | step 189/433 | loss 2.7740 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:44 | ep 01 | step 190/433 | loss 2.7035 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:45 | ep 01 | step 191/433 | loss 2.6725 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:45 | ep 01 | step 192/433 | loss 2.9050 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:46 | ep 01 | step 193/433 | loss 2.7225 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:47 | ep 01 | step 194/433 | loss 2.7378 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:48 | ep 01 | step 195/433 | loss 2.8262 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:49 | ep 01 | step 196/433 | loss 2.7341 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:49 | ep 01 | step 197/433 | loss 2.8331 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:50 | ep 01 | step 198/433 | loss 2.8659 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:51 | ep 01 | step 199/433 | loss 2.7238 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:52 | ep 01 | step 200/433 | loss 2.7457 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:52 | ep 01 | step 201/433 | loss 2.7813 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:53 | ep 01 | step 202/433 | loss 2.7770 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:54 | ep 01 | step 203/433 | loss 2.8216 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:55 | ep 01 | step 204/433 | loss 2.7906 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:56 | ep 01 | step 205/433 | loss 2.7888 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:56 | ep 01 | step 206/433 | loss 2.7264 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:57 | ep 01 | step 207/433 | loss 2.7276 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:58 | ep 01 | step 208/433 | loss 2.7336 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:59 | ep 01 | step 209/433 | loss 2.7621 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:59 | ep 01 | step 210/433 | loss 2.7568 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:00 | ep 01 | step 211/433 | loss 2.6808 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:01 | ep 01 | step 212/433 | loss 2.7626 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:02 | ep 01 | step 213/433 | loss 2.7963 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:03 | ep 01 | step 214/433 | loss 2.8174 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:03 | ep 01 | step 215/433 | loss 2.7242 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:04 | ep 01 | step 216/433 | loss 2.6950 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:05 | ep 01 | step 217/433 | loss 2.7737 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:06 | ep 01 | step 218/433 | loss 2.7254 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:07 | ep 01 | step 219/433 | loss 2.7913 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:07 | ep 01 | step 220/433 | loss 2.7871 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:08 | ep 01 | step 221/433 | loss 2.7753 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:09 | ep 01 | step 222/433 | loss 2.7010 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:10 | ep 01 | step 223/433 | loss 2.7422 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:10 | ep 01 | step 224/433 | loss 2.7538 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:11 | ep 01 | step 225/433 | loss 2.7865 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:12 | ep 01 | step 226/433 | loss 2.7236 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:13 | ep 01 | step 227/433 | loss 2.7811 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:14 | ep 01 | step 228/433 | loss 2.7462 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:14 | ep 01 | step 229/433 | loss 2.7223 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:15 | ep 01 | step 230/433 | loss 2.7980 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:16 | ep 01 | step 231/433 | loss 2.8137 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:46:17 | ep 01 | step 232/433 | loss 2.7689 | v_img 1.02e+00 | v_tab 1.02e+00
